Count of MONTH,Column Labels,,,,,,,,,,,,
Row Labels,1,2,3,4,5,6,7,8,9,10,11,12,Grand Total
Angel Island SP,87,111,47,,,2,,,,,,,247
Anza-Borrego Desert SP,908,918,534,,,,,,1,798,1225,188,4572
Auburn SRA,,,,,,22,108,91,33,,,,254
Benbow SRA,,,,,,39,341,347,56,,,,783
Big Basin Redwoods SP,333,386,184,,1,492,2017,1174,,,,,4587
Bolsa Chica SB,582,494,276,,,345,540,573,601,655,672,114,4852
Bothe-Napa Valley SP,67,138,48,,,265,597,386,237,,149,50,1937
Brannan Island SRA,18,41,25,,,63,671,570,465,167,106,13,2139
Butano SP,,,,,,80,451,249,,,,,780
Calaveras Big Trees SP,12,41,8,,,264,1404,1252,796,506,32,,4315
Candlestick Point SRA,3,3,7,,,,,,,,,,13
Carpinteria SB,1136,752,203,,,582,1739,2037,2002,2087,1830,303,12671
Castle Crags SP,,,,,,57,343,,,,,,400
Caswell Memorial SP,,,3,,,79,537,425,308,229,181,6,1768
China Camp SP,24,58,26,,,22,462,406,220,252,246,26,1742
Chino Hills SP,16,58,18,,,51,66,,,,,,209
Clear Lake SP,16,58,20,,,137,982,760,431,348,239,31,3022
Colonel Allensworth SHP,6,5,,,,2,16,24,29,15,20,3,120
Colusa-Sacramento River SRA,8,10,7,,,45,74,63,48,85,44,10,394
Crystal Cove SP Moro Campground,757,748,386,,,643,921,963,933,1031,889,124,7395
Cuyamaca Rancho SP,,,1,,,798,1960,1641,1019,1181,568,66,7234
D.L. Bliss SP,,,,,,561,1483,1417,621,25,,,4107
Del Norte Coast Redwood SP Mill Creek Campground,,,,,,141,1613,1748,606,,,,4108
Doheny SB,577,535,451,,1,632,1187,1248,1285,1279,,,7195
Donner Memorial SP,,,,,,643,1462,1443,246,,,,3794
El Capitan SB,283,400,158,,1,787,1395,1584,1561,1691,1469,55,9384
Emerald Bay SP,,,,,,305,1284,1235,234,,,,3058
Emma Wood SB,,1,,,,238,832,865,244,,,,2180
Folsom Lake SRA,251,368,227,,,400,1046,860,543,431,366,48,4540
Fremont Peak SP,11,33,23,,,32,258,226,130,181,193,28,1115
Gaviota SP,,,,,,133,566,611,571,,,,1881
George J. Hatfield SRA,,,,,,,,9,,,,,9
Grizzly Creek Redwoods SP,,,,,,42,307,299,67,,,,715
