Count of MONTH,Column Labels,,,,,,,,,
Row Labels,4,5,6,7,8,9,10,11,12,Grand Total
Andrew Molera SP,,,,,346,276,240,,,862
Angel Island SP,148,143,128,450,462,273,277,237,210,2328
Anza-Borrego Desert SP,2304,1176,,,,1,1378,1905,1771,8535
Auburn SRA,,228,347,422,318,165,2,,,1482
Benbow SRA,,70,281,509,272,71,,,,1203
Bolsa Chica SB,,1153,1046,854,1109,1259,1158,1211,1204,8994
Bothe-Napa Valley SP,852,812,1040,1031,948,757,734,583,450,7207
Brannan Island SRA,795,776,817,1067,768,669,155,102,65,5214
Butano SP,235,166,193,144,,,,,,738
Calaveras Big Trees SP,57,1091,1780,1881,1566,1193,671,41,50,8330
Candlestick Point SRA,11,1,,22,1,11,3,,,49
Carpinteria SB,3522,3945,3853,3815,4079,4333,4212,3539,3240,34538
Castle Crags SP,73,470,855,943,480,225,58,15,1,3120
Caswell Memorial SP,475,478,568,789,501,437,252,126,40,3666
China Camp SP,352,312,469,545,429,287,279,161,50,2884
Chino Hills SP,235,210,180,211,154,156,194,163,69,1572
Clear Lake SP,618,919,1209,1480,921,672,398,217,54,6488
Clear Lake SP Cabins,79,59,72,140,78,61,50,50,22,611
Colonel Allensworth SHP,45,55,30,20,16,34,37,21,11,269
Columbia SHP Hotels and Cottages,108,122,153,223,143,129,119,97,145,1239
Colusa-Sacramento River SRA,58,24,14,11,10,6,,,,123
Crystal Cove SP Beach Cottages,230,301,237,204,266,296,358,346,336,2574
Crystal Cove SP Moro Campground,1547,1704,1612,1482,1671,1618,1686,1482,1502,14304
Cuyamaca Rancho SP,1447,1362,1653,1795,1415,1327,1359,1193,134,11685
D.L. Bliss SP,,205,2141,2058,2140,585,,,,7129
Del Norte Coast Redwood SP Mill Creek Campground,,1202,2373,2488,2467,1555,,,,10085
Doheny SB,,,2346,1758,2478,2597,2587,2218,2096,16080
Donner Memorial SP,,254,2139,2225,2158,192,,,,6968
El Capitan SB,2515,2555,2631,2278,2674,2706,2257,2081,204,19901
Emerald Bay SP,,8,1620,2023,2056,205,,,,5912
Emma Wood SB,,313,1537,1428,1591,207,3,,,5079
Folsom Lake SRA,920,1418,1520,1767,1204,1120,682,514,392,9537
Fort Tejon SHP,1,1,,3,1,5,7,3,2,23
Fremont Peak SP,270,227,299,380,309,210,202,170,105,2172
Gaviota SP,598,526,770,863,900,683,,,,4340
George J. Hatfield SRA,3,20,6,29,9,9,5,2,,83
Grizzly Creek Redwoods SP,,57,450,458,469,67,,,,1501
Grover Hot Springs SP,,568,1067,1002,678,199,,,,3514
Half Moon Bay SB,1121,1209,1170,1216,1298,1204,1259,1189,1152,10818
Hearst San Simeon SP,2837,2779,3402,3710,3704,3158,2749,2393,1698,26430
Hendy Woods SP,944,929,1291,1372,1167,730,481,312,134,7360
Henry Cowell Redwoods SP,1910,2039,2011,2104,2486,2113,1945,806,,15414
Henry W Coe SP,282,214,242,301,245,223,199,178,123,2007
Humboldt Redwoods SP,660,1335,3198,3674,3088,1490,731,330,204,14710
Indian Grinding Rock SHP,190,203,216,182,99,96,116,84,15,1201
Jedediah Smith Redwoods SP,95,877,1426,1322,1342,1422,76,66,62,6688
Julia Pfeiffer Burns SP,53,44,44,30,48,49,45,47,52,412
Lake Oroville SRA,858,1078,922,1135,427,472,252,95,34,5273
Lake Perris SRA,3047,2979,3248,3924,2764,2573,1452,988,607,21582
Leo Carrillo SP,2406,2469,2370,2000,2829,2715,2509,1923,1796,21017
Limekiln SP,699,566,503,450,522,544,434,407,480,4605
Mackerricher SP,1053,1632,1578,1646,2066,1800,760,473,283,11291
Malakoff Diggins SHP,,89,234,276,165,94,,,,858
Malibu Creek SP,918,900,1212,1349,1282,846,860,755,590,8712
Manresa SB,677,715,1076,1031,1128,671,619,,,5917
Mcarthur-Burney Falls Mem SP Cabins,128,273,391,481,313,210,23,,,1819
Mcarthur-Burney Falls Memorial SP,121,720,1238,1359,1222,528,121,25,,5334
Mcconnell SRA,137,156,217,179,140,106,113,23,10,1081
Millerton Lake SRA,1083,1108,1182,1409,799,708,341,266,150,7046
Montana De Oro SP,325,462,617,929,1000,882,837,675,627,6354
Morro Bay SP,2120,2213,2373,2325,2513,2252,2362,1994,1855,20007
Morro Strand SB,1359,1455,1402,1404,1612,1421,1356,1089,1101,12199
Mount Diablo SP,794,751,762,875,757,551,552,421,219,5682
Mount Tamalpais SP,285,388,337,316,342,36,43,30,345,2122
Mt. San Jacinto SP,571,819,942,1023,803,768,771,392,234,6323
New Brighton SB,2124,2381,2205,2185,2616,2427,2185,1540,1475,19138
Oceano Dunes SVRA,1387,1424,1705,1788,2317,2288,1921,1444,1684,15958
Palomar Mountain SP,495,455,556,625,524,407,401,374,1,3838
Pfeiffer Big Sur SP,2344,2379,2001,1781,2032,2752,3181,2447,1168,20085
Pismo SB,3198,2841,2858,2692,3412,2934,1702,1890,2319,23846
Plumas-Eureka SP,,131,673,679,517,171,,,,2171
Point Mugu SP,1893,1974,2125,1702,2180,2127,2000,1715,1632,17348
Portola Redwoods SP,948,938,1100,1133,1019,414,368,,,5920
Prairie Creek Redwoods SP Elk Prairie Campground,1196,1251,1331,1372,1431,1293,1157,552,316,9899
Prairie Creek Redwoods SP Gold Bluffs Beach Camp,454,466,423,405,433,486,455,333,186,3641
Red Rock Canyon SP,203,127,11,1,,8,116,30,43,539
Refugio SB,1298,1301,1209,1025,1305,1242,1278,1235,212,10105
Richardson Grove SP,35,205,846,986,893,164,30,28,29,3216
Russian Gulch SP,275,469,509,545,596,580,1,,,2975
Salt Point SP,880,1086,1405,1723,1544,1089,972,314,281,9294
Salton Sea SRA,267,188,102,116,44,136,126,128,142,1249
Samuel P. Taylor SP,1097,1191,1239,1306,1492,1389,1198,721,513,10146
Samuel P. Taylor SP Cabins,71,82,71,78,75,71,77,79,,604
San Clemente SB,2629,2787,2674,2115,2718,2667,2651,2302,2138,22681
San Clemente SB (The Holidays Vintage Trailers),85,80,88,96,110,92,80,75,66,772
San Elijo SB,2646,3002,2844,2330,2854,3135,3242,3027,3237,26317
San Luis Reservoir SRA,1255,1500,1408,1708,1069,1110,666,433,238,9387
San Onofre SB,2206,3505,5530,5908,5931,3232,2137,1311,1182,30942
Seacliff SB,1066,1184,1284,1167,1404,1300,1444,1268,1119,11236
Silver Strand SB,1991,2097,2164,1907,2441,2214,2150,1849,1571,18384
Silverwood Lake SRA,1388,1393,1823,2094,1571,1277,741,584,358,11229
Sonoma Coast State Park,1219,1832,1988,1904,2191,1903,1865,1005,711,14618
South Carlsbad SB,3737,4126,3826,3045,3819,4226,3249,2937,3928,32893
Standish-Hickey SRA,,177,978,1317,845,173,,,,3490
Sue-meg SP,369,1007,1961,1923,2222,1991,689,353,268,10783
Sugar Pine Point SP,,268,1759,1853,1719,678,,,,6277
Sugarloaf Ridge SP,513,542,689,756,617,377,366,315,183,4358
Sunset SB,1527,1658,1735,1677,2069,1787,1521,682,599,13255
Tahoe SRA,,69,401,454,461,47,,,,1432
Turlock Lake SRA,13,55,103,211,55,29,,,,466
Van Damme SP,1099,1054,1168,1170,1395,1154,951,268,192,8451
Woodson Bridge SRA,164,242,187,301,174,176,11,,,1255
Grand Total,82243,96800,122019,124898,125343,99804,79300,60677,49715,840799
