,,,,,,,
,,,,,,,
Count of MONTH,Column Labels,,,,,,
Row Labels,1,2,3,4,5,6,Grand Total
Andrew Molera SP,,,,,244,357,601
Angel Island SP,173,196,259,252,291,286,1457
Anza-Borrego Desert SP,1844,2006,2526,2127,932,,9435
Auburn SRA,,,,,119,288,407
Benbow SRA,,,,,64,209,273
Bidwell-Sacramento River SP,,,,,5,,5
Bolsa Chica SB,1129,1000,1180,1113,1241,1105,6768
Bothe-Napa Valley SP,375,522,682,723,793,854,3949
Brannan Island SRA,48,82,128,113,150,80,601
Calaveras Big Trees SP,30,53,72,100,797,1567,2619
Candlestick Point SRA,2,1,,,,,3
Carpinteria SB,3130,2442,1974,3862,4037,4169,19614
Castle Crags SP,,,,,259,855,1114
Caswell Memorial SP,52,120,205,303,405,519,1604
China Camp SP,58,134,174,291,277,476,1410
Chino Hills SP,125,177,200,282,194,171,1149
Clear Lake SP,70,227,371,595,785,934,2982
Clear Lake SP Cabins,14,31,29,75,76,73,298
Colonel Allensworth SHP,17,25,31,29,32,24,158
Columbia SHP Hotels and Cottages,55,60,61,118,152,146,592
Crystal Cove SP Beach Cottages,443,353,395,263,328,258,2040
Crystal Cove SP Moro Campground,1569,1392,1479,1459,1614,1435,8948
Cuyamaca Rancho SP,98,124,170,1381,1173,1335,4281
D.L. Bliss SP,,,,,,536,536
Del Norte Coast Redwood SP Mill Creek Campground,,,,,864,2143,3007
Doheny SB,1932,2004,2376,2234,2412,2388,13346
Donner Memorial SP,,,,,169,1557,1726
El Capitan SB,367,580,560,2577,2577,2695,9356
Emerald Bay SP,,,,,,1670,1670
Emma Wood SB,,,,,236,1394,1630
Folsom Lake SRA,480,503,595,917,1153,1460,5108
Fort Tejon SHP,,2,1,5,4,3,15
Fremont Peak SP,49,71,94,229,165,270,878
Gaviota SP,,,,657,449,813,1919
George J. Hatfield SRA,1,,1,2,8,45,57
Grizzly Creek Redwoods SP,,,,,70,368,438
Half Moon Bay SB,1173,992,1152,1164,1369,1215,7065
Hearst San Simeon SP,1613,1826,2500,2754,2549,3161,14403
Hendy Woods SP,192,255,388,786,747,1022,3390
Henry Cowell Redwoods SP,,,,2045,1896,2192,6133
Henry W Coe SP,116,178,250,263,230,235,1272
Humboldt Redwoods SP,172,245,594,879,1218,2570,5678
Hungry Valley SVRA,,,1,4,2,,7
Indian Grinding Rock SHP,36,64,86,164,155,158,663
Jedediah Smith Redwoods SP,38,52,69,70,1028,1594,2851
Julia Pfeiffer Burns SP,50,35,52,41,39,43,260
Lake Oroville SRA,41,65,118,545,771,729,2269
Lake Perris SRA,702,1386,1224,1676,2149,2586,9723
Leo Carrillo SP,694,1065,2508,2519,2458,2681,11925
Limekiln SP,441,467,628,532,568,503,3139
Mackerricher SP,249,393,660,1057,1498,1754,5611
Malakoff Diggins SHP,,,,,56,196,252
Malibu Creek SP,678,705,859,1040,897,1177,5356
Manresa SB,,,,671,530,911,2112
Mcarthur-Burney Falls Mem SP Cabins,,,,119,209,325,653
Mcarthur-Burney Falls Memorial SP,,,,22,546,1204,1772
Mcconnell SRA,8,35,48,127,125,148,491
Millerton Lake SRA,118,234,315,960,896,964,3487
Montana De Oro SP,568,580,825,882,788,940,4583
Morro Bay SP,1732,1768,2188,2326,2208,2458,12680
Morro Strand SB,991,960,1253,1370,1200,1542,7316
Mount Diablo SP,283,406,532,675,646,680,3222
Mount Tamalpais SP,326,332,357,350,387,405,2157
Mt. San Jacinto SP,238,249,380,654,745,865,3131
New Brighton SB,1333,1325,1586,2090,2570,2322,11226
Oceano Dunes SVRA,1925,1880,2103,2590,2093,3109,13700
Palomar Mountain SP,,16,22,391,315,432,1176
Pfeiffer Big Sur SP,1340,1469,2899,2938,3324,2961,14931
Pismo SB,2124,2217,2865,2971,2826,3227,16230
Plumas-Eureka SP,,,,,138,679,817
Point Mugu SP,1542,1584,1928,1872,1936,2160,11022
Portola Redwoods SP,,,,892,756,1144,2792
Prairie Creek Redwoods SP Elk Prairie Campground,286,331,576,1155,1477,1426,5251
Prairie Creek Redwoods SP Gold Bluffs Beach Camp,137,223,442,512,525,483,2322
Red Rock Canyon SP,,103,153,284,152,34,726
Refugio SB,351,527,454,1276,1398,1325,5331
Richardson Grove SP,18,15,31,48,214,801,1127
Russian Gulch SP,,,,17,461,531,1009
Salt Point SP,215,276,375,737,927,1327,3857
Salton Sea SRA,123,266,294,203,61,43,990
Samuel P. Taylor SP,452,489,961,1130,1195,1278,5505
Samuel P. Taylor SP Cabins,82,63,81,66,86,102,480
San Clemente SB,1976,2037,2425,2453,2677,2580,14148
San Clemente SB (The Holidays Vintage Trailers),41,51,73,73,70,96,404
San Elijo SB,2954,1364,3277,2838,3346,2826,16605
San Luis Reservoir SRA,329,418,523,713,832,731,3546
San Onofre SB,954,1122,2012,2064,2658,4998,13808
Seacliff SB,1134,1060,1142,1122,1138,1063,6659
Silver Strand SB,1568,1554,1923,1984,2002,2317,11348
Silverwood Lake SRA,305,455,604,1163,1031,1487,5045
Sonoma Coast State Park,707,747,922,1361,1809,1993,7539
South Carlsbad SB,3797,2282,4263,3981,4564,4175,23062
Standish-Hickey SRA,,1,,4,186,884,1075
Sue-meg SP,223,231,348,367,661,2055,3885
Sugar Pine Point SP,,,,,238,1601,1839
Sugarloaf Ridge SP,213,318,438,496,500,554,2519
Sunset SB,521,688,851,1612,1473,1731,6876
Tahoe SRA,,,,,84,340,424
Van Damme SP,158,209,278,935,852,1154,3586
Woodson Bridge SRA,,,,139,194,125,458
Grand Total,47328,47718,64399,83879,92754,116835,452913
