Count of MONTH,Column Labels,,,
Row Labels,1,2,3,Grand Total
Anza-Borrego Desert SP,31,1140,1506,2677
Bolsa Chica SB,64,546,642,1252
Bothe-Napa Valley SP,,193,405,598
Brannan Island SRA,,70,133,203
Calaveras Big Trees SP,,11,15,26
Carpinteria SB,71,1555,1910,3536
Caswell Memorial SP,,6,184,190
China Camp SP,,130,229,359
Chino Hills SP,,60,131,191
Clear Lake SP,6,232,345,583
Colonel Allensworth SHP,,3,23,26
Colusa-Sacramento River SRA,,2,2,4
Crystal Cove SP Moro Campground,88,846,923,1857
Cuyamaca Rancho SP,,,76,76
El Capitan SB,,103,469,572
Folsom Lake SRA,30,310,509,849
Fremont Peak SP,,10,87,97
Half Moon Bay SB,4,477,665,1146
Hearst San Simeon SP,14,1135,1790,2939
Hendy Woods SP,21,233,331,585
Henry Cowell Redwoods SP,,306,688,994
Henry W Coe SP,,89,150,239
Humboldt Redwoods SP,10,213,343,566
Indian Grinding Rock SHP,,1,100,101
Julia Pfeiffer Burns SP,,15,29,44
Lake Oroville SRA,,42,180,222
Lake Perris SRA,2,732,1376,2110
Leo Carrillo SP,27,830,1436,2293
Limekiln SP,,,96,96
Mackerricher SP,59,70,124,253
Malibu Creek SP,4,385,582,971
Mcconnell SRA,,3,70,73
Millerton Lake SRA,,35,325,360
Morro Bay SP,9,1042,1342,2393
Morro Strand SB,21,622,823,1466
Mount Diablo SP,,263,518,781
Mount Tamalpais SP,,58,97,155
Mt. San Jacinto SP,,138,252,390
New Brighton SB,,624,921,1545
Oceano Dunes SVRA,,484,1198,1682
Palomar Mountain SP,,9,,9
Patricks Point SP,19,130,194,343
Pfeiffer Big Sur SP,,71,614,685
Pismo SB,,620,1388,2008
Point Mugu SP,52,870,1211,2133
Portola Redwoods SP,,,379,379
Prairie Creek Redwoods SP Elk Prairie Campground,15,210,359,584
Prairie Creek Redwoods SP Gold Bluffs Beach Campg,9,149,183,341
Red Rock Canyon SP,,125,223,348
Refugio SB,,23,342,365
Salt Point SP,,126,280,406
Salton Sea SRA,2,150,230,382
Samuel P. Taylor SP,5,272,633,910
San Clemente SB,71,1201,1584,2856
San Elijo SB,116,1444,1431,2991
San Luis Reservoir SRA,,472,741,1213
San Onofre SB,21,589,1403,2013
Seacliff SB,,477,633,1110
Silver Strand SB,15,851,1124,1990
Silverwood Lake SRA,3,338,515,856
Sonoma Coast State Park,,314,490,804
South Carlsbad SB,40,1819,2105,3964
Sugarloaf Ridge SP,,166,345,511
Sunset SB,1,446,701,1148
Van Damme SP,29,131,170,330
Grand Total,859,24017,38303,63179
